dataset	description	secondary_description	full_name	Host	Biomart
sharrisii_gene_ensembl	Tasmanian devil		Tasmanian devil	aug2017.archive.ensembl.org	ENSEMBL_MART_ENSEMBL
sscrofa_gene_ensembl	Pig		Pig	aug2017.archive.ensembl.org	ENSEMBL_MART_ENSEMBL
tbelangeri_gene_ensembl	Tree Shrew		Tree Shrew	aug2017.archive.ensembl.org	ENSEMBL_MART_ENSEMBL
tguttata_gene_ensembl	Zebra Finch		Zebra Finch	aug2017.archive.ensembl.org	ENSEMBL_MART_ENSEMBL
tnigroviridis_gene_ensembl	Tetraodon		Tetraodon	aug2017.archive.ensembl.org	ENSEMBL_MART_ENSEMBL
trubripes_gene_ensembl	Fugu		Fugu	aug2017.archive.ensembl.org	ENSEMBL_MART_ENSEMBL
ttruncatus_gene_ensembl	Dolphin		Dolphin	aug2017.archive.ensembl.org	ENSEMBL_MART_ENSEMBL
vpacos_gene_ensembl	Alpaca		Alpaca	aug2017.archive.ensembl.org	ENSEMBL_MART_ENSEMBL
xmaculatus_gene_ensembl	Platyfish		Platyfish	aug2017.archive.ensembl.org	ENSEMBL_MART_ENSEMBL
xtropicalis_gene_ensembl	Xenopus		Xenopus	aug2017.archive.ensembl.org	ENSEMBL_MART_ENSEMBL
